Job Zone,Code,Occupation,Data-level,url,Median Wage,Projected Growth,Projected Job Openings
2,39-2021.00,Animal Caretakers,Y,https://www.onetonline.org/link/summary/39-2021.00,"$16.09 hourly, $33,470 annual",Much faster than average (7% or higher),"74,600"
2,33-9011.00,Animal Control Workers,Y,https://www.onetonline.org/link/summary/33-9011.00,"$22.03 hourly, $45,830 annual",Average (3% to 4%),"1,300"
5,19-1011.00,Animal Scientists,Y,https://www.onetonline.org/link/summary/19-1011.00,"$38.04 hourly, $79,120 annual",Faster than average (5% to 6%),200
2,39-2011.00,Animal Trainers,Y,https://www.onetonline.org/link/summary/39-2011.00,"$18.63 hourly, $38,750 annual",Faster than average (5% to 6%),"7,100"
5,19-3091.00,Anthropologists and Archeologists,Y,https://www.onetonline.org/link/summary/19-3091.00,"$31.21 hourly, $64,910 annual",Average (3% to 4%),800
5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1061.00,"$95,770 annual",Average (3% to 4%),500
4,13-2023.00,Appraisers and Assessors of Real Estate,Y,https://www.onetonline.org/link/summary/13-2023.00,"$31.45 hourly, $65,420 annual",Average (3% to 4%),"6,300"
4,13-2022.00,Appraisers of Personal and Business Property,Y,https://www.onetonline.org/link/summary/13-2022.00,"$31.45 hourly, $65,420 annual",Average (3% to 4%),"6,300"
5,23-1022.00,"Arbitrators, Mediators, and Conciliators",Y,https://www.onetonline.org/link/summary/23-1022.00,"$32.55 hourly, $67,710 annual",Average (3% to 4%),300
5,17-1011.00,"Architects, Except Landscape and Naval",Y,https://www.onetonline.org/link/summary/17-1011.00,"$46.49 hourly, $96,690 annual",Average (3% to 4%),"7,800"
3,17-3011.00,Architectural and Civil Drafters,Y,https://www.onetonline.org/link/summary/17-3011.00,"$30.90 hourly, $64,280 annual",Average (3% to 4%),"10,000"
5,11-9041.00,Architectural and Engineering Managers,Y,https://www.onetonline.org/link/summary/11-9041.00,"$80.64 hourly, $167,740 annual",Average (3% to 4%),"14,500"
5,25-1031.00,"Architecture Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1031.00,"$101,480 annual",Slower than average (1% to 2%),900
5,25-4011.00,Archivists,Y,https://www.onetonline.org/link/summary/25-4011.00,"$29.60 hourly, $61,570 annual",Average (3% to 4%),"1,100"
5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1062.00,"$84,290 annual",Slower than average (1% to 2%),"1,100"
n/a,55-3013.00,Armored Assault Vehicle Crew Members,,https://www.onetonline.org/link/summary/55-3013.00,,,
n/a,55-1013.00,Armored Assault Vehicle Officers,,https://www.onetonline.org/link/summary/55-1013.00,,,
4,27-1011.00,Art Directors,Y,https://www.onetonline.org/link/summary/27-1011.00,"$53.38 hourly, $111,040 annual",Average (3% to 4%),"12,300"
5,29-1129.01,Art Therapists,Y,https://www.onetonline.org/link/summary/29-1129.01,"$31.26 hourly, $65,010 annual",Much faster than average (7% or higher),"4,100"
5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1121.00,"$80,190 annual",Slower than average (1% to 2%),"9,000"
n/a,55-3014.00,Artillery and Missile Crew Members,,https://www.onetonline.org/link/summary/55-3014.00,,,
n/a,55-1014.00,Artillery and Missile Officers,,https://www.onetonline.org/link/summary/55-1014.00,,,
n/a,27-1019.00,"Artists and Related Workers, All Other",,https://www.onetonline.org/link/summary/27-1019.00,"$34.98 hourly, $72,760 annual",Slower than average (1% to 2%),"1,200"
n/a,51-2099.00,"Assemblers and Fabricators, All Other",,https://www.onetonline.org/link/summary/51-2099.00,"$20.29 hourly, $42,210 annual",Little or no change,"156,300"
5,19-2011.00,Astronomers,Y,https://www.onetonline.org/link/summary/19-2011.00,"$63.54 hourly, $132,170 annual",Slower than average (1% to 2%),100
2,27-2021.00,Athletes and Sports Competitors,Y,https://www.onetonline.org/link/summary/27-2021.00,"$62,360 annual",Faster than average (5% to 6%),"2,100"
5,29-9091.00,Athletic Trainers,Y,https://www.onetonline.org/link/summary/29-9091.00,"$60,250 annual",Much faster than average (7% or higher),"2,400"
4,19-2021.00,Atmospheric and Space Scientists,Y,https://www.onetonline.org/link/summary/19-2021.00,"$46.85 hourly, $97,450 annual",Slower than average (1% to 2%),700
5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1051.00,"$101,390 annual",Average (3% to 4%),"1,000"
3,27-4011.00,Audio and Video Technicians,Y,https://www.onetonline.org/link/summary/27-4011.00,"$26.36 hourly, $54,830 annual",Average (3% to 4%),"7,300"
5,29-1181.00,Audiologists,Y,https://www.onetonline.org/link/summary/29-1181.00,"$44.29 hourly, $92,120 annual",Much faster than average (7% or higher),700
3,49-2097.00,Audiovisual Equipment Installers and Repairers,Y,https://www.onetonline.org/link/summary/49-2097.00,"$24.34 hourly, $50,620 annual",Much faster than average (7% or higher),"2,600"
2,53-6031.00,Automotive and Watercraft Service Attendants,Y,https://www.onetonline.org/link/summary/53-6031.00,"$16.76 hourly, $34,850 annual",Decline (-1% or lower),"14,400"
2,49-3021.00,Automotive Body and Related Repairers,Y,https://www.onetonline.org/link/summary/49-3021.00,"$24.85 hourly, $51,680 annual",Slower than average (1% to 2%),"14,600"
3,17-3027.01,Automotive Engineering Technicians,Y,https://www.onetonline.org/link/summary/17-3027.01,"$33.04 hourly, $68,730 annual",Little or no change,"3,200"
4,17-2141.02,Automotive Engineers,Y,https://www.onetonline.org/link/summary/17-2141.02,"$49.19 hourly, $102,320 annual",Much faster than average (7% or higher),"18,100"
2,49-3022.00,Automotive Glass Installers and Repairers,Y,https://www.onetonline.org/link/summary/49-3022.00,"$22.72 hourly, $47,260 annual",Average (3% to 4%),"1,400"
3,49-3023.00,Automotive Service Technicians and Mechanics,Y,https://www.onetonline.org/link/summary/49-3023.00,"$23.88 hourly, $49,670 annual",Average (3% to 4%),"70,000"
3,53-6051.01,Aviation Inspectors,Y,https://www.onetonline.org/link/summary/53-6051.01,"$41.23 hourly, $85,750 annual",Slower than average (1% to 2%),"2,500"
3,49-2091.00,Avionics Technicians,Y,https://www.onetonline.org/link/summary/49-2091.00,"$39.13 hourly, $81,390 annual",Much faster than average (7% or higher),"1,800"
2,39-6011.00,Baggage Porters and Bellhops,Y,https://www.onetonline.org/link/summary/39-6011.00,"$17.32 hourly, $36,020 annual",Decline (-1% or lower),"4,600"
3,33-3011.00,Bailiffs,Y,https://www.onetonline.org/link/summary/33-3011.00,"$27.43 hourly, $57,050 annual",Decline (-1% or lower),"1,800"
2,51-3011.00,Bakers,Y,https://www.onetonline.org/link/summary/51-3011.00,"$17.62 hourly, $36,650 annual",Faster than average (5% to 6%),"39,900"
3,39-5011.00,Barbers,Y,https://www.onetonline.org/link/summary/39-5011.00,"$18.73 hourly, $38,960 annual",Average (3% to 4%),"8,400"
1,35-3023.01,Baristas,Y,https://www.onetonline.org/link/summary/35-3023.01,"$14.65 hourly, $30,480 annual",Faster than average (5% to 6%),"904,300"
2,35-3011.00,Bartenders,Y,https://www.onetonline.org/link/summary/35-3011.00,"$16.12 hourly, $33,530 annual",Faster than average (5% to 6%),"129,600"
2,49-3091.00,Bicycle Repairers,Y,https://www.onetonline.org/link/summary/49-3091.00,"$19.40 hourly, $40,360 annual",Decline (-1% or lower),"1,600"
2,43-3011.00,Bill and Account Collectors,Y,https://www.onetonline.org/link/summary/43-3011.00,"$22.14 hourly, $46,040 annual",Decline (-1% or lower),"13,700"
3,43-3021.00,Billing and Posting Clerks,Y,https://www.onetonline.org/link/summary/43-3021.00,"$22.68 hourly, $47,170 annual",Little or no change,"42,200"
5,19-1021.00,Biochemists and Biophysicists,Y,https://www.onetonline.org/link/summary/19-1021.00,"$49.83 hourly, $103,650 annual",Faster than average (5% to 6%),"2,900"
4,17-2031.00,Bioengineers and Biomedical Engineers,Y,https://www.onetonline.org/link/summary/17-2031.00,"$51.42 hourly, $106,950 annual",Faster than average (5% to 6%),"1,300"
2,51-8099.01,Biofuels Processing Technicians,Y,https://www.onetonline.org/link/summary/51-8099.01,"$29.67 hourly, $61,710 annual",Slower than average (1% to 2%),"1,600"
4,11-3051.03,Biofuels Production Managers,Y,https://www.onetonline.org/link/summary/11-3051.03,"$58.39 hourly, $121,440 annual",Slower than average (1% to 2%),"17,100"
4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Y,https://www.onetonline.org/link/summary/11-9041.01,"$80.64 hourly, $167,740 annual",Average (3% to 4%),"14,500"
5,19-1029.01,Bioinformatics Scientists,Y,https://www.onetonline.org/link/summary/19-1029.01,"$44.87 hourly, $93,330 annual",Slower than average (1% to 2%),"4,800"
4,15-2099.01,Bioinformatics Technicians,Y,https://www.onetonline.org/link/summary/15-2099.01,"$34.37 hourly, $71,490 annual",Average (3% to 4%),300
5,25-1042.00,"Biological Science Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1042.00,"$83,460 annual",Much faster than average (7% or higher),"5,400"
n/a,19-1029.00,"Biological Scientists, All Other",,https://www.onetonline.org/link/summary/19-1029.00,"$44.87 hourly, $93,330 annual",Slower than average (1% to 2%),"4,800"
4,19-4021.00,Biological Technicians,Y,https://www.onetonline.org/link/summary/19-4021.00,"$25.00 hourly, $52,000 annual",Average (3% to 4%),"9,100"
5,19-1029.04,Biologists,Y,https://www.onetonline.org/link/summary/19-1029.04,"$44.87 hourly, $93,330 annual",Slower than average (1% to 2%),"4,800"
2,51-8013.03,Biomass Plant Technicians,Y,https://www.onetonline.org/link/summary/51-8013.03,"$47.92 hourly, $99,670 annual",Decline (-1% or lower),"2,500"
4,11-3051.04,Biomass Power Plant Managers,Y,https://www.onetonline.org/link/summary/11-3051.04,"$58.39 hourly, $121,440 annual",Slower than average (1% to 2%),"17,100"
5,15-2041.01,Biostatisticians,Y,https://www.onetonline.org/link/summary/15-2041.01,"$49.66 hourly, $103,300 annual",Much faster than average (7% or higher),"2,000"
4,15-1299.07,Blockchain Engineers,Y,https://www.onetonline.org/link/summary/15-1299.07,"$52.39 hourly, $108,970 annual",Much faster than average (7% or higher),"31,300"
2,47-2011.00,Boilermakers,Y,https://www.onetonline.org/link/summary/47-2011.00,"$35.26 hourly, $73,340 annual",Decline (-1% or lower),800
3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Y,https://www.onetonline.org/link/summary/43-3031.00,"$23.66 hourly, $49,210 annual",Decline (-1% or lower),"170,000"
2,47-2021.00,Brickmasons and Blockmasons,Y,https://www.onetonline.org/link/summary/47-2021.00,"$29.23 hourly, $60,800 annual",Average (3% to 4%),"5,600"
2,53-6011.00,Bridge and Lock Tenders,Y,https://www.onetonline.org/link/summary/53-6011.00,"$28.12 hourly, $58,490 annual",Decline (-1% or lower),300
4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Y,https://www.onetonline.org/link/summary/27-3011.00,"$21.96 hourly, $45,680 annual",Decline (-1% or lower),"2,300"
3,27-4012.00,Broadcast Technicians,Y,https://www.onetonline.org/link/summary/27-4012.00,"$25.92 hourly, $53,920 annual",Decline (-1% or lower),"1,800"
3,43-4011.00,Brokerage Clerks,Y,https://www.onetonline.org/link/summary/43-4011.00,"$30.26 hourly, $62,940 annual",Decline (-1% or lower),"4,100"
4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Y,https://www.onetonline.org/link/summary/11-9199.11,"$65.65 hourly, $136,550 annual",Faster than average (5% to 6%),"106,700"
4,13-2031.00,Budget Analysts,Y,https://www.onetonline.org/link/summary/13-2031.00,"$42.27 hourly, $87,930 annual",Slower than average (1% to 2%),"3,100"
n/a,37-2019.00,"Building Cleaning Workers, All Other",,https://www.onetonline.org/link/summary/37-2019.00,"$20.37 hourly, $42,360 annual",Average (3% to 4%),"2,600"
3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Y,https://www.onetonline.org/link/summary/49-3031.00,"$29.15 hourly, $60,640 annual",Slower than average (1% to 2%),"26,500"
2,53-3051.00,"Bus Drivers, School",Y,https://www.onetonline.org/link/summary/53-3051.00,"$22.62 hourly, $47,040 annual",Little or no change,"61,000"
2,53-3052.00,"Bus Drivers, Transit and Intercity",Y,https://www.onetonline.org/link/summary/53-3052.00,"$27.61 hourly, $57,440 annual",Average (3% to 4%),"20,900"
4,13-1199.04,Business Continuity Planners,Y,https://www.onetonline.org/link/summary/13-1199.04,"$39.07 hourly, $81,270 annual",Average (3% to 4%),"108,200"
4,15-2051.01,Business Intelligence Analysts,Y,https://www.onetonline.org/link/summary/15-2051.01,"$54.13 hourly, $112,590 annual",Much faster than average (7% or higher),"23,400"
n/a,13-1199.00,"Business Operations Specialists, All Other",,https://www.onetonline.org/link/summary/13-1199.00,"$39.07 hourly, $81,270 annual",Average (3% to 4%),"108,200"
5,25-1011.00,"Business Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1011.00,"$97,270 annual",Faster than average (5% to 6%),"8,100"
2,51-3021.00,Butchers and Meat Cutters,Y,https://www.onetonline.org/link/summary/51-3021.00,"$18.73 hourly, $38,960 annual",Slower than average (1% to 2%),"16,900"
4,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Y,https://www.onetonline.org/link/summary/13-1021.00,"$36.37 hourly, $75,650 annual",Faster than average (5% to 6%),"52,200"
2,51-7011.00,Cabinetmakers and Bench Carpenters,Y,https://www.onetonline.org/link/summary/51-7011.00,"$22.12 hourly, $46,020 annual",Decline (-1% or lower),"8,100"
3,17-3028.00,Calibration Technologists and Technicians,Y,https://www.onetonline.org/link/summary/17-3028.00,"$31.27 hourly, $65,040 annual",Faster than average (5% to 6%),"1,400"
3,49-9061.00,Camera and Photographic Equipment Repairers,Y,https://www.onetonline.org/link/summary/49-9061.00,"$23.70 hourly, $49,300 annual",Decline (-1% or lower),200
3,27-4031.00,"Camera Operators, Television, Video, and Film",Y,https://www.onetonline.org/link/summary/27-4031.00,"$33.08 hourly, $68,810 annual",Slower than average (1% to 2%),"2,900"
3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Y,https://www.onetonline.org/link/summary/53-5021.00,"$41.13 hourly, $85,540 annual",Slower than average (1% to 2%),"4,300"
5,29-1212.00,Cardiologists,Y,https://www.onetonline.org/link/summary/29-1212.00,"$115.00+ hourly, $239,200+ annual",Average (3% to 4%),600
3,29-2031.00,Cardiovascular Technologists and Technicians,Y,https://www.onetonline.org/link/summary/29-2031.00,"$32.34 hourly, $67,260 annual",Average (3% to 4%),"3,800"
4,25-2023.00,"Career/Technical Education Teachers, Middle School",Y,https://www.onetonline.org/link/summary/25-2023.00,"$63,620 annual",Decline (-1% or lower),900
3,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1194.00,"$29.56 hourly, $61,490 annual",Slower than average (1% to 2%),"8,800"
4,25-2032.00,"Career/Technical Education Teachers, Secondary School",Y,https://www.onetonline.org/link/summary/25-2032.00,"$63,910 annual",Decline (-1% or lower),"6,200"
2,43-5011.00,Cargo and Freight Agents,Y,https://www.onetonline.org/link/summary/43-5011.00,"$23.99 hourly, $49,900 annual",Much faster than average (7% or higher),"8,800"
2,47-2031.00,Carpenters,Y,https://www.onetonline.org/link/summary/47-2031.00,"$28.51 hourly, $59,310 annual",Faster than average (5% to 6%),"74,100"
2,47-2041.00,Carpet Installers,Y,https://www.onetonline.org/link/summary/47-2041.00,"$23.97 hourly, $49,850 annual",Decline (-1% or lower),"1,100"
4,17-1021.00,Cartographers and Photogrammetrists,Y,https://www.onetonline.org/link/summary/17-1021.00,"$37.68 hourly, $78,380 annual",Faster than average (5% to 6%),"1,000"
2,41-2011.00,Cashiers,Y,https://www.onetonline.org/link/summary/41-2011.00,"$14.99 hourly, $31,190 annual",Decline (-1% or lower),"542,600"
1,47-2051.00,Cement Masons and Concrete Finishers,Y,https://www.onetonline.org/link/summary/47-2051.00,"$26.28 hourly, $54,660 annual",Slower than average (1% to 2%),"14,300"
3,35-1011.00,Chefs and Head Cooks,Y,https://www.onetonline.org/link/summary/35-1011.00,"$29.32 hourly, $60,990 annual",Much faster than average (7% or higher),"24,400"
4,17-2041.00,Chemical Engineers,Y,https://www.onetonline.org/link/summary/17-2041.00,"$58.59 hourly, $121,860 annual",Average (3% to 4%),"1,100"
2,51-9011.00,Chemical Equipment Operators and Tenders,Y,https://www.onetonline.org/link/summary/51-9011.00,"$27.45 hourly, $57,090 annual",Average (3% to 4%),"14,400"
2,51-8091.00,Chemical Plant and System Operators,Y,https://www.onetonline.org/link/summary/51-8091.00,"$35.35 hourly, $73,540 annual",Decline (-1% or lower),"1,600"
3,19-4031.00,Chemical Technicians,Y,https://www.onetonline.org/link/summary/19-4031.00,"$27.78 hourly, $57,790 annual",Average (3% to 4%),"6,700"
5,25-1052.00,"Chemistry Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1052.00,"$86,220 annual",Slower than average (1% to 2%),"1,900"
4,19-2031.00,Chemists,Y,https://www.onetonline.org/link/summary/19-2031.00,"$40.46 hourly, $84,150 annual",Faster than average (5% to 6%),"6,300"
5,11-1011.00,Chief Executives,Y,https://www.onetonline.org/link/summary/11-1011.00,"$99.24 hourly, $206,420 annual",Average (3% to 4%),"22,200"
5,11-1011.03,Chief Sustainability Officers,Y,https://www.onetonline.org/link/summary/11-1011.03,"$99.24 hourly, $206,420 annual",Average (3% to 4%),"22,200"
4,21-1021.00,"Child, Family, and School Social Workers",Y,https://www.onetonline.org/link/summary/21-1021.00,"$28.16 hourly, $58,570 annual",Average (3% to 4%),"35,100"
2,39-9011.00,Childcare Workers,Y,https://www.onetonline.org/link/summary/39-9011.00,"$15.41 hourly, $32,050 annual",Decline (-1% or lower),"160,200"
5,29-1011.00,Chiropractors,Y,https://www.onetonline.org/link/summary/29-1011.00,"$37.98 hourly, $79,000 annual",Much faster than average (7% or higher),"2,800"
3,27-2032.00,Choreographers,Y,https://www.onetonline.org/link/summary/27-2032.00,"$26.73 hourly, $55,600 annual",Faster than average (5% to 6%),700
3,17-3022.00,Civil Engineering Technologists and Technicians,Y,https://www.onetonline.org/link/summary/17-3022.00,"$30.86 hourly, $64,200 annual",Slower than average (1% to 2%),"5,500"
4,17-2051.00,Civil Engineers,Y,https://www.onetonline.org/link/summary/17-2051.00,"$47.88 hourly, $99,590 annual",Faster than average (5% to 6%),"23,600"
4,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Y,https://www.onetonline.org/link/summary/13-1031.00,"$36.92 hourly, $76,790 annual",Decline (-1% or lower),"21,100"
2,53-7061.00,Cleaners of Vehicles and Equipment,Y,https://www.onetonline.org/link/summary/53-7061.00,"$16.96 hourly, $35,270 annual",Average (3% to 4%),"56,200"
2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Y,https://www.onetonline.org/link/summary/51-9192.00,"$19.93 hourly, $41,460 annual",Average (3% to 4%),"1,600"
5,21-2011.00,Clergy,Y,https://www.onetonline.org/link/summary/21-2011.00,"$29.24 hourly, $60,820 annual",Slower than average (1% to 2%),"23,000"
5,19-2041.01,Climate Change Policy Analysts,Y,https://www.onetonline.org/link/summary/19-2041.01,"$38.49 hourly, $80,060 annual",Average (3% to 4%),"8,500"
5,19-3033.00,Clinical and Counseling Psychologists,Y,https://www.onetonline.org/link/summary/19-3033.00,"$46.07 hourly, $95,830 annual",Much faster than average (7% or higher),"4,800"
4,15-2051.02,Clinical Data Managers,Y,https://www.onetonline.org/link/summary/15-2051.02,"$54.13 hourly, $112,590 annual",Much faster than average (7% or higher),"23,400"
5,19-3039.03,Clinical Neuropsychologists,Y,https://www.onetonline.org/link/summary/19-3039.03,"$56.53 hourly, $117,580 annual",Average (3% to 4%),"3,900"
5,29-1141.04,Clinical Nurse Specialists,Y,https://www.onetonline.org/link/summary/29-1141.04,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),"189,100"
4,11-9121.01,Clinical Research Coordinators,Y,https://www.onetonline.org/link/summary/11-9121.01,"$77.49 hourly, $161,180 annual",Average (3% to 4%),"8,500"
4,27-2022.00,Coaches and Scouts,Y,https://www.onetonline.org/link/summary/27-2022.00,"$45,920 annual",Faster than average (5% to 6%),"41,800"
2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Y,https://www.onetonline.org/link/summary/51-9124.00,"$22.88 hourly, $47,590 annual",Slower than average (1% to 2%),"15,800"
2,51-2021.00,"Coil Winders, Tapers, and Finishers",Y,https://www.onetonline.org/link/summary/51-2021.00,"$22.72 hourly, $47,260 annual",Decline (-1% or lower),"1,200"
2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",Y,https://www.onetonline.org/link/summary/49-9091.00,"$22.77 hourly, $47,350 annual",Decline (-1% or lower),"3,500"
n/a,55-1015.00,Command and Control Center Officers,,https://www.onetonline.org/link/summary/55-1015.00,,,
n/a,55-3015.00,Command and Control Center Specialists,,https://www.onetonline.org/link/summary/55-3015.00,,,
4,27-1021.00,Commercial and Industrial Designers,Y,https://www.onetonline.org/link/summary/27-1021.00,"$38.20 hourly, $79,450 annual",Average (3% to 4%),"2,500"
3,49-9092.00,Commercial Divers,Y,https://www.onetonline.org/link/summary/49-9092.00,"$29.39 hourly, $61,130 annual",Much faster than average (7% or higher),400
3,53-2012.00,Commercial Pilots,Y,https://www.onetonline.org/link/summary/53-2012.00,"$122,670 annual",Faster than average (5% to 6%),"6,600"
n/a,43-2099.00,"Communications Equipment Operators, All Other",,https://www.onetonline.org/link/summary/43-2099.00,"$24.00 hourly, $49,910 annual",Average (3% to 4%),100
5,25-1122.00,"Communications Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1122.00,"$77,800 annual",Slower than average (1% to 2%),"2,700"
n/a,21-1099.00,"Community and Social Service Specialists, All Other",,https://www.onetonline.org/link/summary/21-1099.00,"$26.41 hourly, $54,940 annual",Faster than average (5% to 6%),"13,100"
4,21-1094.00,Community Health Workers,Y,https://www.onetonline.org/link/summary/21-1094.00,"$24.54 hourly, $51,030 annual",Much faster than average (7% or higher),"7,800"
4,11-3111.00,Compensation and Benefits Managers,Y,https://www.onetonline.org/link/summary/11-3111.00,"$67.48 hourly, $140,360 annual",Little or no change,"1,500"
4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Y,https://www.onetonline.org/link/summary/13-1141.00,"$37.03 hourly, $77,020 annual",Faster than average (5% to 6%),"8,500"
4,11-9199.02,Compliance Managers,Y,https://www.onetonline.org/link/summary/11-9199.02,"$65.65 hourly, $136,550 annual",Faster than average (5% to 6%),"106,700"
4,13-1041.00,Compliance Officers,Y,https://www.onetonline.org/link/summary/13-1041.00,"$37.70 hourly, $78,420 annual",Average (3% to 4%),"33,300"
5,15-1221.00,Computer and Information Research Scientists,Y,https://www.onetonline.org/link/summary/15-1221.00,"$67.74 hourly, $140,910 annual",Much faster than average (7% or higher),"3,200"
4,11-3021.00,Computer and Information Systems Managers,Y,https://www.onetonline.org/link/summary/11-3021.00,"$82.31 hourly, $171,200 annual",Much faster than average (7% or higher),"55,600"
4,17-2061.00,Computer Hardware Engineers,Y,https://www.onetonline.org/link/summary/17-2061.00,"$74.53 hourly, $155,020 annual",Much faster than average (7% or higher),"4,700"
4,15-1241.00,Computer Network Architects,Y,https://www.onetonline.org/link/summary/15-1241.00,"$62.69 hourly, $130,390 annual",Much faster than average (7% or higher),"11,200"
4,15-1231.00,Computer Network Support Specialists,Y,https://www.onetonline.org/link/summary/15-1231.00,"$35.26 hourly, $73,340 annual",Slower than average (1% to 2%),"9,600"
2,51-9161.00,Computer Numerically Controlled Tool Operators,Y,https://www.onetonline.org/link/summary/51-9161.00,"$24.02 hourly, $49,970 annual",Decline (-1% or lower),"13,500"
2,51-9162.00,Computer Numerically Controlled Tool Programmers,Y,https://www.onetonline.org/link/summary/51-9162.00,"$31.57 hourly, $65,670 annual",Much faster than average (7% or higher),"3,100"
n/a,15-1299.00,"Computer Occupations, All Other",,https://www.onetonline.org/link/summary/15-1299.00,"$52.39 hourly, $108,970 annual",Much faster than average (7% or higher),"31,300"
4,15-1251.00,Computer Programmers,Y,https://www.onetonline.org/link/summary/15-1251.00,"$47.44 hourly, $98,670 annual",Decline (-1% or lower),"5,500"
5,25-1021.00,"Computer Science Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1021.00,"$96,690 annual",Faster than average (5% to 6%),"3,500"
3,15-1211.00,Computer Systems Analysts,Y,https://www.onetonline.org/link/summary/15-1211.00,"$49.90 hourly, $103,790 annual",Much faster than average (7% or higher),"34,200"
3,15-1299.08,Computer Systems Engineers/Architects,Y,https://www.onetonline.org/link/summary/15-1299.08,"$52.39 hourly, $108,970 annual",Much faster than average (7% or higher),"31,300"
3,15-1232.00,Computer User Support Specialists,Y,https://www.onetonline.org/link/summary/15-1232.00,"$29.01 hourly, $60,340 annual",Decline (-1% or lower),"40,800"
3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Y,https://www.onetonline.org/link/summary/49-2011.00,"$22.53 hourly, $46,860 annual",Decline (-1% or lower),"7,600"
2,39-6012.00,Concierges,Y,https://www.onetonline.org/link/summary/39-6012.00,"$17.94 hourly, $37,320 annual",Slower than average (1% to 2%),"6,800"
4,19-1031.00,Conservation Scientists,Y,https://www.onetonline.org/link/summary/19-1031.00,"$32.67 hourly, $67,950 annual",Average (3% to 4%),"2,500"
3,47-4011.00,Construction and Building Inspectors,Y,https://www.onetonline.org/link/summary/47-4011.00,"$34.67 hourly, $72,120 annual",Decline (-1% or lower),"14,800"
n/a,47-4099.00,"Construction and Related Workers, All Other",,https://www.onetonline.org/link/summary/47-4099.00,"$23.14 hourly, $48,120 annual",Average (3% to 4%),"3,100"
2,47-2061.00,Construction Laborers,Y,https://www.onetonline.org/link/summary/47-2061.00,"$22.47 hourly, $46,730 annual",Much faster than average (7% or higher),"129,400"
4,11-9021.00,Construction Managers,Y,https://www.onetonline.org/link/summary/11-9021.00,"$51.43 hourly, $106,980 annual",Much faster than average (7% or higher),"46,800"
2,47-5041.00,Continuous Mining Machine Operators,Y,https://www.onetonline.org/link/summary/47-5041.00,"$30.47 hourly, $63,380 annual",Slower than average (1% to 2%),"1,600"
3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Y,https://www.onetonline.org/link/summary/49-9012.00,"$35.91 hourly, $74,690 annual",Slower than average (1% to 2%),"3,900"
1,53-7011.00,Conveyor Operators and Tenders,Y,https://www.onetonline.org/link/summary/53-7011.00,"$19.82 hourly, $41,230 annual",Decline (-1% or lower),"2,600"
n/a,35-2019.00,"Cooks, All Other",,https://www.onetonline.org/link/summary/35-2019.00,"$17.41 hourly, $36,210 annual",Faster than average (5% to 6%),"3,700"
1,35-2011.00,"Cooks, Fast Food",Y,https://www.onetonline.org/link/summary/35-2011.00,"$14.50 hourly, $30,160 annual",Decline (-1% or lower),"82,100"
2,35-2012.00,"Cooks, Institution and Cafeteria",Y,https://www.onetonline.org/link/summary/35-2012.00,"$17.53 hourly, $36,450 annual",Slower than average (1% to 2%),"69,700"
3,35-2013.00,"Cooks, Private Household",Y,https://www.onetonline.org/link/summary/35-2013.00,"$21.41 hourly, $44,530 annual",Faster than average (5% to 6%),"5,300"
2,35-2014.00,"Cooks, Restaurant",Y,https://www.onetonline.org/link/summary/35-2014.00,"$17.71 hourly, $36,830 annual",Much faster than average (7% or higher),"250,700"
2,35-2015.00,"Cooks, Short Order",Y,https://www.onetonline.org/link/summary/35-2015.00,"$17.12 hourly, $35,620 annual",Decline (-1% or lower),"20,600"
