Soc Code,URL,Simple Title
19-1012.00,https://altpath.org/discover/wbfqnla41p1bkyjnf5u64wio,Food Scientist
29-1125.00,https://altpath.org/discover/utlz6uuivhlnych91mfyt6lq,Recreational Therapist
29-1224.00,https://altpath.org/discover/r81gjx3atv3xi331i3mba6as,Radiologist
51-4062.00,https://altpath.org/discover/ye4724qpuzxrc1xndch9ekfn,Metal & Plastic Patternmaker
53-2031.00,https://altpath.org/discover/tdq9ud4l11gcuv46u98szk24,Flight Attendant
41-4012.00,https://altpath.org/discover/zimtu46mv8fs6yngo3z1fln7,Manufacturing Sales Representative
47-2073.00,https://altpath.org/discover/ko79s9ix53w9rxk0zli8v9d5,Construction Equipment Operator
49-2096.00,https://altpath.org/discover/hytksjauflx7ppjsstol4zk7,Auto Electronic Equipment Installer
25-2012.00,https://altpath.org/discover/fkj5lmqxlfxyhdtib37rhtp3,Kindergarten Teacher
29-2032.00,https://altpath.org/discover/aplsy5ypt8h5z28v4vujspsk,Diagnostic Medical Sonographer
13-1151.00,https://altpath.org/discover/xqd743u0q5qdqh11wqe7b8gl,Training Specialist
47-2061.00,https://altpath.org/discover/c7f0wv489nsp1wzkpb73pyk8,Construction Laborer
29-1129.00,https://altpath.org/discover/buuc4lxcro0isyhj64alifok,Therapists
41-3031.00,https://altpath.org/discover/wgo1fqpihk4c53mwekmq1jgw,Financial Services Sales Agent
43-9061.00,https://altpath.org/discover/lzj2ikxxaacvvjhrmmy0hn1i,Office Clerk
33-1021.00,https://altpath.org/discover/wz9e8h8tzhp53dvsxryeuoh9,Firefighter Supervisor
17-2061.00,https://altpath.org/discover/cfpyv0xubgclkc5wzj4df3nv,Computer Hardware Engineer
49-9096.00,https://altpath.org/discover/fn0ogaicdcn70fp7fxg479oc,Rigger
25-2056.00,https://altpath.org/discover/og2o044r9k53rocgq97k480c,Elementary Special Education Teacher
11-3031.00,https://altpath.org/discover/hyoz7yaa7fgwblb8u8gpxplg,Financial Manager
15-1231.00,https://altpath.org/discover/b00eghdtelp0jhenyk4pywpq,Computer Network Specialist
11-9131.00,https://altpath.org/discover/xjt3v6etv5mjmppkpwv449xm,Postmaster
51-8013.00,https://altpath.org/discover/ezezld83b7g2mmlca1o7hutm,Power Plant Operator
47-2211.00,https://altpath.org/discover/aw42o0wbs01fb29gls2sn8b3,Sheet Metal Worker
53-5022.00,https://altpath.org/discover/mhybfypzpmg4naxrl8mkohvm,Motorboat Operator
41-3021.00,https://altpath.org/discover/e9m54pnk03ixp7t4pnc535cz,Insurance Sales Agent
47-4061.00,https://altpath.org/discover/klyezo5r4te9bcpgtab7l2s6,Rail-Track Equipment Operator
49-9052.00,https://altpath.org/discover/vilcoznjmmjz0a1cg9xem0qg,Telecomm Line Installer
19-2011.00,https://altpath.org/discover/cczywfaza5peego6otmk45zs,Astronomer
13-1074.00,https://altpath.org/discover/ex7xm3pnl8n5bbg0tfeeepd9,Farm Labor Contractor
13-2072.00,https://altpath.org/discover/bjhp2tp52adw15ee4s6yxrzx,Loan Officer
21-1021.00,https://altpath.org/discover/h3yf7hpwioz2hx2dqust2sup,School Social Worker
25-1021.00,https://altpath.org/discover/zylbqa08c4fctve67ctmwzdz,Postsecondary Computer Science Teacher
29-1041.00,https://altpath.org/discover/w7dkwj1dvb5w51zsk8wu7cyr,Optometrist
13-1031.00,https://altpath.org/discover/oiox5ur753bo5pa8bac2n33k,Claims Adjuster
19-1042.00,https://altpath.org/discover/p2nwiux0cq5kdxivmtusarq3,Medical Scientist
25-4013.00,https://altpath.org/discover/ypdqcw73g82nspysmxtih8y8,Museum Technician
53-4011.00,https://altpath.org/discover/tsdh5pc84hkdxvymj5yhlwrs,Locomotive Engineer
15-2021.00,https://altpath.org/discover/oq6d6o0ky2iqrcjl7c3wnfjg,Mathematician
49-3092.00,https://altpath.org/discover/hvf8hx15h4ogi34cnxrnkbi4,RV Service Technician
49-9011.00,https://altpath.org/discover/la07npda37zpuehhejx9muig,Mechanical Door Repairer
13-1121.00,https://altpath.org/discover/l44b3tzqs399vx3aj5qyiodv,Event Planner
33-9032.00,https://altpath.org/discover/okjtf8o8777m04yqs6d7ygva,Security Guard
47-2044.00,https://altpath.org/discover/jvbvjsjbbhcszp78su1yhu7z,Tile Setter
11-3012.00,https://altpath.org/discover/ckbj80grkkvynylzjdj63007,Administrative Services Manager
47-2181.00,https://altpath.org/discover/bwcdenrjbh5m3hj0t5zdmg7v,Roofer
19-4021.00,https://altpath.org/discover/viuqx88pcyub0zz0wcjcssvn,Biological Technician
35-3011.00,https://altpath.org/discover/p0uyihav009togs552h057ro,Bartender
11-2021.00,https://altpath.org/discover/cqoor0etn79j1s6rp9gfzbgx,Marketing Manager
19-1099.00,https://altpath.org/discover/vgeztvslosglvw89t79lghmk,Life Scientist
19-2032.00,https://altpath.org/discover/owkcibz4gi95vzm8mnjrtptm,Materials Scientist
49-9044.00,https://altpath.org/discover/s3iyy6uuypz145thx2k14pf3,Millwright
25-1071.00,https://altpath.org/discover/p2y1plw3z8o7g2ym7m9coo7d,Postsecondary Health Teacher
47-2081.00,https://altpath.org/discover/ezwlb76eh5flcfu15uxl9tvv,Drywall Installer
37-3013.00,https://altpath.org/discover/h6asbw88j1hrsotevrddjg8s,Tree Trimmer
47-4099.00,https://altpath.org/discover/lknerc1w8wl720idp2l5sddi,Construction Worker
13-2071.00,https://altpath.org/discover/l8ghsh1yjo8xdjufytrc5td8,Credit Counselor
17-3025.00,https://altpath.org/discover/jg75e4knap3pdvrfgt9o3bfu,Environmental Engineering Technologist
29-1123.00,https://altpath.org/discover/dygwz9l5xnaazoxkrekfu3tr,Physical Therapist
27-2022.00,https://altpath.org/discover/nljb8kinycmhyxv1p5a9y9jx,Coaches and Scouts
27-3091.00,https://altpath.org/discover/ft4olobh57xahniuyilbidv0,Translator
43-4031.00,https://altpath.org/discover/gjd0jjb7lgtc6dnkybdu0qpt,Court Clerk
43-5011.00,https://altpath.org/discover/c21vlujsbwqi2q88kuc5gglb,Cargo Agent
11-9032.00,https://altpath.org/discover/uzsmro8ccwez9csx1c4bsxoi,Education Administrator
25-1111.00,https://altpath.org/discover/mjtx5vix8mjilxwyvs845x74,Postsecondary Criminal Justice Teacher
51-9141.00,https://altpath.org/discover/t0jjio2vcjc0cheun5h5c7b5,Semiconductor Processing Technician
53-7081.00,https://altpath.org/discover/pzdykmh66h4a7d6570eycgie,Refuse & Recycling Collector
25-1113.00,https://altpath.org/discover/ohnhb7ab70gat2mnjzp343ot,Postsecondary Social Work Teacher
47-2111.00,https://altpath.org/discover/ccf0lbfkjvewzd2zd8b7n19k,Electrician
